Company Category,Country,State,Activated Date,Skills,UK Region,Cluster,Cluster_Name
Gaming Company,United Kingdom,England,2025-08-14,azure,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-14,model-serving,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-14,spark,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,ci-cd,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,docker,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,kubernetes,England,2,"Cloud, Infrastructure & DevOps"
Gaming Company,United Kingdom,England,2025-08-14,python,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-14,sql,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,machine-learning,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-14,team-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-14,cross-functional,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-14,github,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,unity,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,c#,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-14,git,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-14,construct,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-15,team-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,rendering,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-15,cpp,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-15,networking,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-15,system-design,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,team-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,jira,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-15,trello,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-15,team-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,performance-analysis,England,2,"Cloud, Infrastructure & DevOps"
Gaming Company,United Kingdom,England,2025-08-15,data-science,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,character-design,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-15,artistic-vision,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,agile-development,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,user-testing,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-15,prototyping,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-15,system-design,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,team-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,cross-functional,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,budget-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-15,talent-acquisition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,talent-acquisition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-15,networking,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-15,dns,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-15,linux,England,1,Game Development & Programming
