UK Region,Skills,Cluster_Name,Demand,Supply,Gap_Score
England,pytorch,Soft Skills & Business Development,5,0.1893,4.9873
England,product-vision,Soft Skills & Business Development,5,0.1893,4.9873
England,pandas,Business Tools & Productivity,5,0.1893,4.9873
England,bitbucket,Game Development & Programming,5,0.1893,4.9873
Northern Ireland,unreal,Soft Skills & Business Development,1,0.1176,4.9851
Scotland,aws,"Cloud, Infrastructure & DevOps",2,0.1396,4.9835
Scotland,rendering,Soft Skills & Creative Production,2,0.1431,4.9818
Scotland,level-design,Project & Development Management,1,0.127,4.9803
Scotland,rigging,Soft Skills & Creative Production,1,0.127,4.9803
Scotland,team-player,Game Development & Programming,3,0.1656,4.98
Wales,agile-development,Project & Development Management,1,0.1302,4.9787
England,material-design,Project & Development Management,4,0.1893,4.9777
England,3d-studio-max,Game Development & Programming,4,0.1893,4.9777
England,reinforcement-learning,Project & Development Management,4,0.1893,4.9777
England,json,Soft Skills & Business Development,4,0.1893,4.9777
England,data-entry,Soft Skills & Business Development,4,0.1893,4.9777
England,microsoft-teams,Business Tools & Productivity,4,0.1893,4.9777
England,environmental-design,Project & Development Management,4,0.1893,4.9777
England,lumberyard,Game Development & Programming,4,0.1893,4.9777
England,deep-learning,Soft Skills & Creative Production,4,0.1893,4.9777
England,invision,Soft Skills & Business Development,4,0.1893,4.9777
England,domo,Game Development & Programming,4,0.1893,4.9777
England,environment-design,Project & Development Management,4,0.1893,4.9777
England,azure-devops,Game Development & Programming,4,0.1893,4.9777
England,vulkan,Business Tools & Productivity,4,0.1893,4.9777
England,svn,Game Development & Programming,4,0.1893,4.9777
England,splunk,Game Development & Programming,4,0.1893,4.9777
England,vmware,Game Development & Programming,4,0.1893,4.9777
England,color-theory,Game Development & Programming,4,0.1893,4.9777
England,public-speaking,Soft Skills & Creative Production,4,0.1893,4.9777
England,concept-development,Project & Development Management,4,0.1893,4.9777
England,task-prioritization,Soft Skills & Business Development,4,0.1893,4.9777
Scotland,microsoft-excel,Business Tools & Productivity,1,0.1331,4.9772
Scotland,user-experience-ux,Soft Skills & Business Development,3,0.175,4.9753
Scotland,timeline-management,Project & Development Management,4,0.1985,4.973
Scotland,confluence,Soft Skills & Business Development,1,0.1467,4.9704
England,google-cloud-platform,Soft Skills & Business Development,3,0.1893,4.9681
England,google-analytics,Soft Skills & Business Development,3,0.1893,4.9681
England,lighting-techniques,Soft Skills & Creative Production,3,0.1893,4.9681
England,canva,Game Development & Programming,3,0.1893,4.9681
England,cinema-4d,Game Development & Programming,3,0.1893,4.9681
England,2d-animation,Soft Skills & Business Development,3,0.1893,4.9681
England,2d-art,Game Development & Programming,3,0.1893,4.9681
England,test-suites,"Cloud, Infrastructure & DevOps",3,0.1893,4.9681
England,threat-intelligence,Project & Development Management,3,0.1893,4.9681
England,risk-mitigation,Soft Skills & Business Development,3,0.1893,4.9681
England,ruby,Game Development & Programming,3,0.1893,4.9681
England,c-make,Game Development & Programming,3,0.1893,4.9681
England,cuda,Game Development & Programming,3,0.1893,4.9681
England,new-relic,"Cloud, Infrastructure & DevOps",3,0.1893,4.9681
England,material-creation,Soft Skills & Business Development,3,0.1893,4.9681
England,ios-development,Project & Development Management,3,0.1893,4.9681
England,android-studio,Game Development & Programming,3,0.1893,4.9681
England,chef,Game Development & Programming,3,0.1893,4.9681
England,proofreading,Soft Skills & Creative Production,3,0.1893,4.9681
Scotland,user-interface,Game Development & Programming,1,0.1544,4.9665
Scotland,perforce,Soft Skills & Business Development,1,0.1544,4.9665
Scotland,texturing,Soft Skills & Creative Production,1,0.1627,4.9623
Scotland,composition,Soft Skills & Business Development,2,0.187,4.9596
England,functional-testing,Soft Skills & Creative Production,2,0.1893,4.9585
England,havok,Business Tools & Productivity,2,0.1893,4.9585
England,helm,Business Tools & Productivity,2,0.1893,4.9585
England,hansoft,Business Tools & Productivity,2,0.1893,4.9585
England,jquery,Game Development & Programming,2,0.1893,4.9585
England,growth-strategy,Soft Skills & Creative Production,2,0.1893,4.9585
England,gulp,Game Development & Programming,2,0.1893,4.9585
England,appium,Game Development & Programming,2,0.1893,4.9585
England,asp.net,Game Development & Programming,2,0.1893,4.9585
England,airtable,Game Development & Programming,2,0.1893,4.9585
England,fastapi,Game Development & Programming,2,0.1893,4.9585
England,dynamic-effects,Game Development & Programming,2,0.1893,4.9585
England,contract-negotiation,Soft Skills & Business Development,2,0.1893,4.9585
England,model-serving,Soft Skills & Creative Production,2,0.1893,4.9585
England,marketing-automation,Soft Skills & Creative Production,2,0.1893,4.9585
England,negotiation,Soft Skills & Business Development,2,0.1893,4.9585
England,noesis,"Cloud, Infrastructure & DevOps",2,0.1893,4.9585
England,numpy,"Cloud, Infrastructure & DevOps",2,0.1893,4.9585
England,matplotlib,Game Development & Programming,2,0.1893,4.9585
England,marvel,Game Development & Programming,2,0.1893,4.9585
England,android-sdk,Game Development & Programming,2,0.1893,4.9585
England,asana,Business Tools & Productivity,2,0.1893,4.9585
England,art-pipeline,Game Development & Programming,2,0.1893,4.9585
England,product-launch,Game Development & Programming,2,0.1893,4.9585
England,puppet,Game Development & Programming,2,0.1893,4.9585
England,react-native,Soft Skills & Business Development,2,0.1893,4.9585
England,compliance-reporting,Soft Skills & Creative Production,2,0.1893,4.9585
England,circleci,Game Development & Programming,2,0.1893,4.9585
England,spring-boot,Soft Skills & Creative Production,2,0.1893,4.9585
England,renderdoc,Soft Skills & Business Development,2,0.1893,4.9585
England,service-mesh,Game Development & Programming,2,0.1893,4.9585
England,scikit-learn,Game Development & Programming,2,0.1893,4.9585
England,platform-certification,Soft Skills & Business Development,2,0.1893,4.9585
England,cloud-security,Game Development & Programming,2,0.1893,4.9585
England,clickup,Game Development & Programming,2,0.1893,4.9585
England,tensorflow,Business Tools & Productivity,2,0.1893,4.9585
England,visual-studio,"Cloud, Infrastructure & DevOps",2,0.1893,4.9585
England,web-api,Game Development & Programming,2,0.1893,4.9585
England,web-security,Game Development & Programming,2,0.1893,4.9585
England,swing,Soft Skills & Creative Production,2,0.1893,4.9585
England,wireframing,Soft Skills & Creative Production,2,0.1893,4.9585
England,visual-effects-vfx,Game Development & Programming,2,0.1893,4.9585
England,uv-mapping,Soft Skills & Creative Production,2,0.1893,4.9585
England,adobe-xd,Game Development & Programming,2,0.1893,4.9585
Scotland,zbrush,Game Development & Programming,1,0.1718,4.9577
Scotland,excel,Game Development & Programming,11,0.3705,4.9534
Scotland,ms-office,Business Tools & Productivity,6,0.2762,4.953
Northern Ireland,c#,Game Development & Programming,1,0.1836,4.9518
England,affiliate-marketing,Soft Skills & Creative Production,1,0.1893,4.9489
England,budget-adherence,Soft Skills & Business Development,1,0.1893,4.9489
England,testrail,Game Development & Programming,1,0.1893,4.9489
England,regression-testing,Soft Skills & Creative Production,1,0.1893,4.9489
England,firebase,Game Development & Programming,1,0.1893,4.9489
England,digital-painting,Soft Skills & Creative Production,1,0.1893,4.9489
England,color-grading,Soft Skills & Creative Production,1,0.1893,4.9489
England,steamworks,Game Development & Programming,1,0.1893,4.9489
England,bloomberg,Game Development & Programming,1,0.1893,4.9489
England,scala,Game Development & Programming,1,0.1893,4.9489
England,playwright,Business Tools & Productivity,1,0.1893,4.9489
England,opencv,Project & Development Management,1,0.1893,4.9489
England,digital-matte-painting,Soft Skills & Creative Production,1,0.1893,4.9489
England,oracle-database,Soft Skills & Business Development,1,0.1893,4.9489
England,open-cv,Project & Development Management,1,0.1893,4.9489
England,open-gl,Project & Development Management,1,0.1893,4.9489
England,kibana,Business Tools & Productivity,1,0.1893,4.9489
England,cost-management,Project & Development Management,1,0.1893,4.9489
England,junit,Business Tools & Productivity,1,0.1893,4.9489
England,employer-branding,Game Development & Programming,1,0.1893,4.9489
England,digital-sculpting,Soft Skills & Creative Production,1,0.1893,4.9489
England,cypress,Soft Skills & Business Development,1,0.1893,4.9489
England,cad-computer-aided-design,Game Development & Programming,1,0.1893,4.9489
England,principle,Game Development & Programming,1,0.1893,4.9489
England,redmine,Soft Skills & Business Development,1,0.1893,4.9489
England,candidate-sourcing,Soft Skills & Creative Production,1,0.1893,4.9489
England,websockets,Game Development & Programming,1,0.1893,4.9489
England,spine,Game Development & Programming,1,0.1893,4.9489
England,script-writing,Soft Skills & Creative Production,1,0.1893,4.9489
England,toon-boom-harmony,Business Tools & Productivity,1,0.1893,4.9489
England,manual-testing,Soft Skills & Creative Production,1,0.1893,4.9489
England,npm,"Cloud, Infrastructure & DevOps",1,0.1893,4.9489
England,nginx,"Cloud, Infrastructure & DevOps",1,0.1893,4.9489
England,legal-compliance,Game Development & Programming,1,0.1893,4.9489
England,visual-consistency,"Cloud, Infrastructure & DevOps",1,0.1893,4.9489
Scotland,accounting,Soft Skills & Creative Production,2,0.2113,4.9474
Scotland,blender,Game Development & Programming,2,0.2182,4.9439
Scotland,unity,Game Development & Programming,12,0.4148,4.9406
Scotland,photoshop,Game Development & Programming,4,0.2642,4.9399
Scotland,motion-capture,Soft Skills & Business Development,1,0.2182,4.9343
Scotland,css,"Cloud, Infrastructure & DevOps",1,0.2182,4.9343
Northern Ireland,problem-solving,Soft Skills & Creative Production,2,0.2479,4.9289
Wales,sql,Game Development & Programming,1,0.2306,4.928
Scotland,sound-editing,Soft Skills & Creative Production,1,0.2332,4.9268
Scotland,data-structures,Soft Skills & Business Development,1,0.2332,4.9268
Northern Ireland,user-experience-ux,Soft Skills & Business Development,1,0.2413,4.9227
Wales,python,Soft Skills & Business Development,2,0.2626,4.9215
Scotland,cpp,Game Development & Programming,14,0.4945,4.9196
Northern Ireland,cross-functional,Soft Skills & Business Development,3,0.286,4.9193
Scotland,power-bi,Game Development & Programming,2,0.2692,4.9182
Scotland,strategic-financial-management,Project & Development Management,1,0.2501,4.9182
Scotland,github,Game Development & Programming,5,0.3334,4.9145
Northern Ireland,prototyping,Soft Skills & Creative Production,1,0.2595,4.9135
Northern Ireland,photoshop,Game Development & Programming,1,0.2595,4.9135
Wales,user-experience-ux,Soft Skills & Business Development,1,0.2718,4.9073
Scotland,tableau,Game Development & Programming,2,0.3032,4.901
Scotland,multiplayer,Game Development & Programming,3,0.3256,4.8993
Northern Ireland,budget-management,Project & Development Management,2,0.3109,4.8972
Scotland,git,Business Tools & Productivity,4,0.3539,4.8946
Northern Ireland,monday,Game Development & Programming,1,0.3043,4.8909
Scotland,back-end,Game Development & Programming,1,0.3163,4.8848
Scotland,typescript,Business Tools & Productivity,1,0.3163,4.8848
Scotland,agile-development,Project & Development Management,18,0.652,4.8785
Scotland,hlsl,Business Tools & Productivity,1,0.3458,4.87
Scotland,react,Soft Skills & Business Development,2,0.3806,4.862
Northern Ireland,agile-development,Project & Development Management,3,0.4152,4.8541
Scotland,figma,Game Development & Programming,2,0.4005,4.852
Scotland,c#,Game Development & Programming,11,0.5792,4.8481
Wales,problem-solving,Soft Skills & Creative Production,3,0.4371,4.843
Scotland,anatomy,Game Development & Programming,1,0.4223,4.8313
Wales,c#,Game Development & Programming,2,0.4526,4.8257
Scotland,mongodb,Game Development & Programming,2,0.4734,4.8152
Scotland,front-end,Game Development & Programming,2,0.4734,4.8152
Scotland,pro-tools,"Cloud, Infrastructure & DevOps",1,0.4734,4.8056
Scotland,microsoft-office,Business Tools & Productivity,5,0.5674,4.7965
Scotland,javascript,Business Tools & Productivity,3,0.5372,4.7926
Scotland,mean,Game Development & Programming,2,0.5372,4.783
Scotland,nosql,"Cloud, Infrastructure & DevOps",2,0.5755,4.7637
Scotland,computer-vision,Soft Skills & Business Development,2,0.5755,4.7637
Scotland,html,Business Tools & Productivity,2,0.5755,4.7637
Scotland,node.js,"Cloud, Infrastructure & DevOps",2,0.5755,4.7637
Northern Ireland,concept-art,Soft Skills & Business Development,1,0.5868,4.7484
Scotland,mysql,Game Development & Programming,2,0.6192,4.7416
Scotland,graphics-design,Project & Development Management,4,0.6697,4.7353
Scotland,motion-graphics,Soft Skills & Business Development,3,0.652,4.7347
Scotland,miro-,Game Development & Programming,1,0.6192,4.732
Scotland,php,Game Development & Programming,1,0.6192,4.732
Wales,java,Game Development & Programming,1,0.6321,4.7255
Northern Ireland,graphics-design,Project & Development Management,1,0.6588,4.7121
Wales,kubernetes,"Cloud, Infrastructure & DevOps",1,0.6799,4.7014
Northern Ireland,market-research,Game Development & Programming,2,0.7328,4.6843
Wales,aws,"Cloud, Infrastructure & DevOps",2,0.735,4.6832
Scotland,3d-modeling,Soft Skills & Creative Production,2,0.7982,4.6513
Scotland,graphql,Game Development & Programming,2,0.7982,4.6513
Wales,git,Business Tools & Productivity,2,0.8172,4.6418
Wales,javascript,Business Tools & Productivity,1,0.7994,4.6411
Wales,user-interface,Game Development & Programming,1,0.7994,4.6411
Scotland,design-patterns,Project & Development Management,5,0.8817,4.638
Northern Ireland,figma,Game Development & Programming,1,0.8245,4.6285
Wales,linux,Game Development & Programming,2,0.8551,4.6226
Scotland,xml,Game Development & Programming,2,0.8817,4.6092
Northern Ireland,motion-graphics,Soft Skills & Business Development,1,0.8675,4.6068
